Produto,De,Para,Quantidade
"('RASTEIRA NAPA VEG FISHY I26', 54558, 'PRETO', '36')",242 - UK - RECIFE 4 - 242,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA NAPA VEG FISHY I26', 54559, 'PRETO', '37')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA NAPA VEG FISHY I26', 54559, 'PRETO', '37')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA NAPA VEG IKEBANA I26', 54368, 'CARAMELO', '37')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA NAPA VEG IKEBANA I26', 54373, 'MILITAR', '36')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA NAPA VEG QUINTA V26', 53788, 'CAR/LAR/AMARE', '35')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA NAPA VEG WOOD V26', 53509, 'BEGE', '38')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA NOBUCK VEG OASIS V26', 53520, 'CARAMELO', '35')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('RASTEIRA NOBUCK VEG OASIS V26', 53528, 'MARINHO', '36')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('RASTEIRA NOBUCK VEG SPIDER I26', 54388, 'VINHO', '36')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA VEGGIE SPRING V26', 53837, 'AMARE/AZ/VERM', '37')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA VEGGIE SPRING V26', 53843, 'BEGE/CARAM', '36')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('RASTEIRA VEGGIE SPRING V26', 53850, 'PTO/MARROM', '36')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SANDALIA COURO RIFT I26', 54494, 'PRETO', '37')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('SANDALIA COURO RIFT I26', 54501, 'MILITAR', '37')",238 - UK - RECIFE 2 - 238,242 - UK - RECIFE 4 - 242,1
"('SANDALIA COURO TOTIS I26', 54515, 'CARAMELO', '37')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('SANDALIA NEOPRENE MEDUSA I26', 54564, 'CAFE', '35')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SANDALIA NEOPRENE MEDUSA I26', 54565, 'CAFE', '36')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('SANDALIA NEOPRENE MEDUSA I26', 54567, 'CAFE', '38')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SANDALIA NEOPRENE MEDUSA I26', 54572, 'CHARUTO', '35')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('SANDALIA NEOPRENE MEDUSA I26', 54575, 'CHARUTO', '38')",238 - UK - RECIFE 2 - 238,242 - UK - RECIFE 4 - 242,1
"('SANDALIA NEOPRENE TRIANON I26', 54583, 'OFF WHITE', '38')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('SANDALIA NEOPRENE TRIANON V26', 53490, 'CARAMELO', '34')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SANDALIA NEOPRENE TRIANON V26', 53499, 'VERDE', '35')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,1
"('SANDALIA NEOPRENE TRIANON V26', 53501, 'VERDE', '37')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('SANDALIA NEOPRENE TRIANON V26', 53502, 'VERDE', '38')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SAPATO NOBUCK VEG FRANCIS V25', 50141, 'CARAMELO/OFF', '36')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SAPATO NOBUCK VEG FRANCIS V25', 50142, 'CARAMELO/OFF', '37')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('SAPATO NOBUCK VEG FRANCIS V25', 50143, 'CARAMELO/OFF', '38')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('TENIS COURO PHILLY I26', 54408, 'CARAMELO', '37')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('TENIS COURO RELAX I25', 52613, 'BRANCO', '35')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('TENIS COURO RIO I25', 52183, 'OFF WHITE', '35')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('TENIS NAPA VEG TK2 I26', 54443, 'GELO', '36')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('TENIS NAPA VEG TK2 I26', 54443, 'GELO', '36')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('TENIS NAPA VEG TK2 I26', 54444, 'GELO', '37')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('TENIS NAPA VEG TK2 I26', 54444, 'GELO', '37')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('TENIS NAPA VEG TK2 I26', 54450, 'MARROM', '36')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('TENIS NAPA VEG TK2 I26', 54450, 'MARROM', '36')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('TENIS NAPA VEG TK2 I26', 54451, 'MARROM', '37')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('TENIS NAPA VEG TK2 I26', 54451, 'MARROM', '37')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('TENIS VEGGIE KA V26', 53405, 'MARROM', '36')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
